rd_ad,room_id,uid,score,dt
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,18012264,4000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,185936615,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,19939340,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213089127,500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,125869435,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,106440912,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,61923800,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,5567936,2300.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,57331323,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,214170868,3000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,144469734,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,214174477,200.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,45117518,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,86588244,3600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,18044748,400.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,113676369,2500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,183604081,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,74960996,1800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,198244636,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,41384202,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,63626837,4100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212537208,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,4026347,3700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,38481539,4900.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,156768417,3400.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,915528,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,34659444,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213621317,3900.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,206175818,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,96736936,4700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,214230438,3800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,80962907,5100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,30180861,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,31900958,4200.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,53628554,4100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,3751152,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,45046189,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,22714066,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,15953825,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,28586944,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,127858086,4800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,167898755,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,163146203,2500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,147264791,1600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,15261902,5200.0,20180801
